MODE,FREQUENCY,MODAL MASS,KENE,X-DIR,RATIO%,Y-DIR,RATIO%,Z-DIR,RATIO%
186,742.7,0.6549E-03,7132.,0.000,0.00,0.000,0.00,0.000,0.00
187,745.7,0.2912E-03,3196.,0.000,0.00,0.000,0.00,0.000,0.00
188,760.4,0.6453E-04,736.5,0.000,0.00,0.000,0.00,0.000,0.00
189,761.5,0.1933E-03,2213.,0.000,0.00,0.000,0.00,0.000,0.00
190,768.0,0.1405E-03,1636.,0.000,0.00,0.000,0.00,0.000,0.00
191,776.4,0.1498E-03,1783.,0.000,0.00,0.000,0.00,0.000,0.00
192,786.5,0.2327E-03,2842.,0.000,0.00,0.000,0.00,0.000,0.00
193,789.5,0.2657E-03,3270.,0.000,0.00,0.000,0.00,0.000,0.00
194,793.8,0.1536E-03,1911.,0.000,0.00,0.000,0.00,0.000,0.00
195,807.0,0.5848E-03,7518.,0.000,0.00,0.000,0.00,0.000,0.00
196,812.2,0.6581E-03,8569.,0.000,0.00,0.000,0.00,0.000,0.00
197,813.1,0.8181E-03,0.1068E+05,0.000,0.00,0.000,0.00,0.000,0.00
198,816.5,0.3996E-03,5259.,0.000,0.00,0.000,0.00,0.000,0.00
199,825.8,0.1547E-03,2082.,0.000,0.00,0.000,0.00,0.000,0.00
200,829.9,0.5010E-03,6811.,0.000,0.00,0.000,0.00,0.000,0.00
201,834.3,0.2114E-03,2904.,0.000,0.00,0.000,0.00,0.000,0.00
202,835.7,0.3251E-03,4481.,0.000,0.00,0.000,0.00,0.000,0.00
203,842.2,0.3174E-03,4443.,0.000,0.00,0.000,0.00,0.000,0.00
204,844.1,0.3769E-03,5302.,0.000,0.00,0.000,0.00,0.000,0.00
205,844.8,0.2380E-03,3353.,0.000,0.00,0.000,0.00,0.000,0.00
206,850.1,0.2815E-03,4016.,0.000,0.00,0.000,0.00,0.000,0.00
207,851.3,0.1766E-03,2526.,0.000,0.00,0.000,0.00,0.000,0.00
208,867.4,0.6737E-03,0.1001E+05,0.000,0.00,0.000,0.00,0.000,0.00
209,873.2,0.1872E-03,2818.,0.000,0.00,0.000,0.00,0.000,0.00
210,877.4,0.4701E-03,7144.,0.000,0.00,0.000,0.00,0.000,0.00
211,878.4,0.1893E-02,0.2883E+05,0.000,0.00,0.000,0.00,0.000,0.00
212,886.1,0.1253E-03,1942.,0.000,0.00,0.000,0.00,0.000,0.00
213,895.4,0.2214E-03,3504.,0.000,0.00,0.000,0.00,0.000,0.00
214,903.2,0.9744E-04,1569.,0.000,0.00,0.000,0.00,0.000,0.00
215,905.0,0.2471E-03,3995.,0.000,0.00,0.000,0.00,0.000,0.00
216,906.6,0.1429E-03,2319.,0.000,0.00,0.000,0.00,0.000,0.00
217,908.7,0.2751E-03,4484.,0.000,0.00,0.000,0.00,0.000,0.00
218,917.3,0.9674E-04,1607.,0.000,0.00,0.000,0.00,0.000,0.00
219,922.6,0.1093E-02,0.1837E+05,0.000,0.00,0.000,0.00,0.000,0.00
220,926.1,0.8447E-03,0.1430E+05,0.000,0.00,0.000,0.00,0.000,0.00
221,932.9,0.1563E-02,0.2685E+05,0.000,0.00,0.000,0.00,0.000,0.00
222,939.5,0.1782E-03,3105.,0.000,0.00,0.000,0.00,0.000,0.00
223,948.2,0.4357E-03,7732.,0.000,0.00,0.000,0.00,0.000,0.00
224,955.7,0.8599E-04,1550.,0.000,0.00,0.000,0.00,0.000,0.00
225,958.5,0.2937E-03,5326.,0.000,0.00,0.000,0.00,0.000,0.00
226,965.1,0.2259E-03,4153.,0.000,0.00,0.000,0.00,0.000,0.00
227,967.9,0.4518E-03,8355.,0.000,0.00,0.000,0.00,0.000,0.00
228,971.2,0.5026E-03,9357.,0.000,0.00,0.000,0.00,0.000,0.00
229,980.8,0.1207E-03,2292.,0.000,0.00,0.000,0.00,0.000,0.00
230,990.6,0.2884E-03,5587.,0.000,0.00,0.000,0.00,0.000,0.00
231,999.3,0.6275E-03,0.1237E+05,0.000,0.00,0.000,0.00,0.000,0.00
232,1006.,0.1965E-03,3923.,0.000,0.00,0.000,0.00,0.000,0.00
233,1011.,0.9399E-04,1894.,0.000,0.00,0.000,0.00,0.000,0.00
234,1015.,0.3893E-03,7912.,0.000,0.00,0.000,0.00,0.000,0.00
235,1022.,0.4099E-03,8448.,0.000,0.00,0.000,0.00,0.000,0.00
236,1028.,0.2163E-03,4508.,0.000,0.00,0.000,0.00,0.000,0.00
237,1037.,0.3849E-03,8178.,0.000,0.00,0.000,0.00,0.000,0.00
238,1042.,0.2992E-03,6416.,0.000,0.00,0.000,0.00,0.000,0.00
239,1046.,0.8945E-03,0.1933E+05,0.000,0.00,0.000,0.00,0.000,0.00
240,1057.,0.6735E-03,0.1485E+05,0.000,0.00,0.000,0.00,0.000,0.00
241,1061.,0.1087E-03,2415.,0.000,0.00,0.000,0.00,0.000,0.00
242,1068.,0.4846E-03,0.1091E+05,0.000,0.00,0.000,0.00,0.000,0.00
243,1081.,0.1699E-03,3918.,0.000,0.00,0.000,0.00,0.000,0.00
244,1083.,0.2591E-03,6001.,0.000,0.00,0.000,0.00,0.000,0.00
245,1089.,0.5994E-03,0.1403E+05,0.000,0.00,0.000,0.00,0.000,0.00
246,1094.,0.8665E-04,2049.,0.000,0.00,0.000,0.00,0.000,0.00
247,1096.,0.5902E-04,1399.,0.000,0.00,0.000,0.00,0.000,0.00
248,1107.,0.2332E-03,5645.,0.000,0.00,0.000,0.00,0.000,0.00
249,1109.,0.9357E-04,2270.,0.000,0.00,0.000,0.00,0.000,0.00
250,1113.,0.1201E-03,2936.,0.000,0.00,0.000,0.00,0.000,0.00
251,1128.,0.5557E-03,0.1395E+05,0.000,0.00,0.000,0.00,0.000,0.00
252,1130.,0.1298E-03,3275.,0.000,0.00,0.000,0.00,0.000,0.00
253,1133.,0.1214E-03,3079.,0.000,0.00,0.000,0.00,0.000,0.00
254,1137.,0.1594E-03,4065.,0.000,0.00,0.000,0.00,0.000,0.00
255,1144.,0.3951E-03,0.1021E+05,0.000,0.00,0.000,0.00,0.000,0.00
256,1169.,0.3970E-03,0.1071E+05,0.000,0.00,0.000,0.00,0.000,0.00
257,1172.,0.2887E-04,783.0,0.000,0.00,0.000,0.00,0.000,0.00
258,1176.,0.3896E-03,0.1063E+05,0.000,0.00,0.000,0.00,0.000,0.00
259,1188.,0.2586E-03,7198.,0.000,0.00,0.000,0.00,0.000,0.00
260,1190.,0.3543E-03,9911.,0.000,0.00,0.000,0.00,0.000,0.00
261,1195.,0.1728E-02,0.4873E+05,0.000,0.00,0.000,0.00,0.000,0.00
262,1203.,0.1912E-03,5461.,0.000,0.00,0.000,0.00,0.000,0.00
263,1206.,0.2039E-03,5849.,0.000,0.00,0.000,0.00,0.000,0.00
264,1211.,0.5353E-03,0.1549E+05,0.000,0.00,0.000,0.00,0.000,0.00
265,1212.,0.8397E-04,2434.,0.000,0.00,0.000,0.00,0.000,0.00
266,1219.,0.2928E-03,8591.,0.000,0.00,0.000,0.00,0.000,0.00
267,1223.,0.3097E-04,913.7,0.000,0.00,0.000,0.00,0.000,0.00
268,1227.,0.2703E-03,8033.,0.000,0.00,0.000,0.00,0.000,0.00
269,1230.,0.3166E-04,946.0,0.000,0.00,0.000,0.00,0.000,0.00
270,1240.,0.9967E-04,3023.,0.000,0.00,0.000,0.00,0.000,0.00
271,1244.,0.2599E-03,7932.,0.000,0.00,0.000,0.00,0.000,0.00
272,1254.,0.1862E-03,5783.,0.000,0.00,0.000,0.00,0.000,0.00
273,1265.,0.5451E-04,1721.,0.000,0.00,0.000,0.00,0.000,0.00
274,1274.,0.3122E-04,1000.0,0.000,0.00,0.000,0.00,0.000,0.00
275,1291.,0.9016E-04,2967.,0.000,0.00,0.000,0.00,0.000,0.00
276,1297.,0.1279E-03,4248.,0.000,0.00,0.000,0.00,0.000,0.00
277,1299.,0.2336E-04,777.6,0.000,0.00,0.000,0.00,0.000,0.00
278,1312.,0.1904E-03,6470.,0.000,0.00,0.000,0.00,0.000,0.00
279,1315.,0.3579E-03,0.1222E+05,0.000,0.00,0.000,0.00,0.000,0.00
