MODE,FREQUENCY,PERIOD,PARTIC.FACTOR,RATIO,EFFECTIVE MASS,MASS FRACTION,TO TOTAL MASS
224,955.726,0.10463E-02,0.0000,0.000000,0.00000,1.00000,0.00000
225,958.522,0.10433E-02,0.0000,0.000000,0.00000,1.00000,0.00000
226,965.100,0.10362E-02,0.0000,0.000000,0.00000,1.00000,0.00000
227,967.933,0.10331E-02,0.0000,0.000000,0.00000,1.00000,0.00000
228,971.174,0.10297E-02,0.0000,0.000000,0.00000,1.00000,0.00000
229,980.800,0.10196E-02,0.0000,0.000000,0.00000,1.00000,0.00000
230,990.640,0.10094E-02,0.0000,0.000000,0.00000,1.00000,0.00000
231,999.316,0.10007E-02,0.0000,0.000000,0.00000,1.00000,0.00000
232,1005.67,0.99436E-03,0.0000,0.000000,0.00000,1.00000,0.00000
233,1010.51,0.98960E-03,0.0000,0.000000,0.00000,1.00000,0.00000
234,1014.76,0.98545E-03,0.0000,0.000000,0.00000,1.00000,0.00000
235,1021.87,0.97860E-03,0.0000,0.000000,0.00000,1.00000,0.00000
236,1027.58,0.97316E-03,0.0000,0.000000,0.00000,1.00000,0.00000
237,1037.47,0.96388E-03,0.0000,0.000000,0.00000,1.00000,0.00000
238,1042.23,0.95948E-03,0.0000,0.000000,0.00000,1.00000,0.00000
239,1046.36,0.95569E-03,0.0000,0.000000,0.00000,1.00000,0.00000
240,1057.03,0.94605E-03,0.0000,0.000000,0.00000,1.00000,0.00000
241,1061.07,0.94245E-03,0.0000,0.000000,0.00000,1.00000,0.00000
242,1067.74,0.93656E-03,0.0000,0.000000,0.00000,1.00000,0.00000
243,1080.84,0.92520E-03,0.0000,0.000000,0.00000,1.00000,0.00000
244,1083.19,0.92320E-03,0.0000,0.000000,0.00000,1.00000,0.00000
245,1088.92,0.91834E-03,0.0000,0.000000,0.00000,1.00000,0.00000
246,1094.43,0.91372E-03,0.0000,0.000000,0.00000,1.00000,0.00000
247,1095.86,0.91252E-03,0.0000,0.000000,0.00000,1.00000,0.00000
248,1107.44,0.90298E-03,0.0000,0.000000,0.00000,1.00000,0.00000
249,1108.67,0.90198E-03,0.0000,0.000000,0.00000,1.00000,0.00000
250,1112.91,0.89855E-03,0.0000,0.000000,0.00000,1.00000,0.00000
251,1127.84,0.88665E-03,0.0000,0.000000,0.00000,1.00000,0.00000
252,1130.43,0.88462E-03,0.0000,0.000000,0.00000,1.00000,0.00000
253,1133.46,0.88225E-03,0.0000,0.000000,0.00000,1.00000,0.00000
254,1136.62,0.87980E-03,0.0000,0.000000,0.00000,1.00000,0.00000
255,1143.97,0.87415E-03,0.0000,0.000000,0.00000,1.00000,0.00000
256,1168.79,0.85559E-03,0.0000,0.000000,0.00000,1.00000,0.00000
257,1172.24,0.85307E-03,0.0000,0.000000,0.00000,1.00000,0.00000
258,1175.50,0.85070E-03,0.0000,0.000000,0.00000,1.00000,0.00000
259,1187.61,0.84203E-03,0.0000,0.000000,0.00000,1.00000,0.00000
260,1190.40,0.84006E-03,0.0000,0.000000,0.00000,1.00000,0.00000
261,1195.08,0.83676E-03,0.0000,0.000000,0.00000,1.00000,0.00000
